NOMOR POLISI,MERK,TAHUN,CC,PPM,STATUS
AA 4209 LB,HONDA,2021,125,55.0,Lolos
G 4028 ZV,HONDA,2020,110,70.69,Lolos
G 4610 XL,HONDA,2021,157,48.34,Lolos
H 3038 KF,HONDA,2023,110,50.41,Lolos
H 3500 XH,HONDA,2022,125,71.46,Lolos
H 3683 BEE,HONDA,2018,110,52.37,Lolos
H 4115 WP,HONDA,2011,125,86.05,Lolos
h 6009 bjh,HONDA,2006,100,95.47,Tidak Lolos
H 4366 NP,HONDA,2019,110,62.29,Lolos
H 5202 VF,HONDA,2012,125,51.09,Lolos
K 2773 EW,HONDA,2018,150,48.25,Lolos
K 6366 OT,HONDA,2016,110,67.67,Lolos
K 6385 RW,HONDA,2022,110,57.69,Lolos
G 4610 XL,HONDA,2023,110,48.34,Lolos
AD 2650 CD,HONDA,1997,100,112.0,Tidak Lolos
G 4859 ANF,HONDA,2018,110,86.05,Lolos
G 6559 JN,HONDA,2016,110,62.63,Lolos
G 6978 CBG,HONDA,2018,110,48.50,Lolos
H 3351 ALC,HONDA,2018,110,64.23,Lolos
H 5074 CU,HONDA,2011,110,69.78,Lolos
H 6352 WY,HONDA,2013,125,62.58,Lolos
K 2414 TW,HONDA,2022,110,52.32,Lolos
K 3770 TW,HONDA,2023,110,49.32,Lolos
K 4782 YQ,HONDA,2014,125,62.35,Lolos
K 5350 RY,HONDA,2016,110,65.72,Lolos
K 6083 BF,HONDA,2020,110,52.74,Lolos
K 6646 NM,HONDA,2013,125,98.23,Tidak Lolos
k 4561 wd,HONDA,2003,125,103.78,Tidak Lolos
